dataset_id,header
communes-nc,code_officiel_geographique_insee
communes-nc,code_postal
communes-nc,nom_minuscule
communes-nc,province
communes-nc,﻿nom_commune
communes-nc-limites-terrestres-simplifiees,code_cog
communes-nc-limites-terrestres-simplifiees,code_postal
communes-nc-limites-terrestres-simplifiees,fichier
communes-nc-limites-terrestres-simplifiees,geo point
communes-nc-limites-terrestres-simplifiees,geo shape
communes-nc-limites-terrestres-simplifiees,nom
communes-nc-limites-terrestres-simplifiees,nom_minuscule
communes-nc-limites-terrestres-simplifiees,shape__are
communes-nc-limites-terrestres-simplifiees,shape__len
communes-nc-limites-terrestres-simplifiees,﻿objectid
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,décompte
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,site
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,station
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,transect
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,type d'invertébré (code)
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,﻿campagne
comptage-des-poissons-de-la-province-des-iles-depuis-2004,décompte
comptage-des-poissons-de-la-province-des-iles-depuis-2004,site
comptage-des-poissons-de-la-province-des-iles-depuis-2004,station
comptage-des-poissons-de-la-province-des-iles-depuis-2004,transect
comptage-des-poissons-de-la-province-des-iles-depuis-2004,type de poisson (code)
comptage-des-poissons-de-la-province-des-iles-depuis-2004,﻿campagne
consommation-de-combustibles-depuis-2009,année
consommation-de-combustibles-depuis-2009,consommation
consommation-de-combustibles-depuis-2009,unité
consommation-de-combustibles-depuis-2009,﻿type de consommation de combustible
consommation-menages-2012,catégorie de produit
consommation-menages-2012,commune de vente
consommation-menages-2012,famille de produits
consommation-menages-2012,forme de vente
consommation-menages-2012,forme de vente num
consommation-menages-2012,lieu de vente
consommation-menages-2012,produit
consommation-menages-2012,secteur de vente
consommation-menages-2012,secteur habitation
consommation-menages-2012,somme de dépenses annuelles (xfp)
consommation-menages-2012,﻿num_ligne
consommation-stupefiants-depuis-2008,année
consommation-stupefiants-depuis-2008,consommation
consommation-stupefiants-depuis-2008,﻿stupefiant
covid-19-centres-depistage-et-vaccination,adresse
covid-19-centres-depistage-et-vaccination,adresse complete
covid-19-centres-depistage-et-vaccination,adresse postale
covid-19-centres-depistage-et-vaccination,commune
